Country,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths for 100 Cases,Recovered for 100 Cases,Deaths for 100 Recovered,Increase Perc
Afghanistan,24766,471,4725,19570,664,20,524,1.9,19.08,9.97,0.2175
Albania,1521,36,1044,441,57,0,5,2.37,68.64,3.45,0.2207
Algeria,10919,767,7606,2546,109,7,186,07.02,69.66,10.08,0.08
Andorra,853,51,781,21,0,0,0,5.98,91.56,6.53,0.00
Angola,140,6,61,73,2,0,0,4.29,43.57,9.84,0.54
Antigua and Barbuda,26,3,20,3,0,0,0,11.54,76.92,15.0,0.00
Argentina,31577,833,9564,21180,1282,18,481,2.64,30.29,8.71,0.39
Armenia,16667,269,6214,10184,663,5,133,1.61,37.28,4.33,0.27
Australia,7335,102,6851,382,15,0,13,1.39,93.4,1.49,0.01
Austria,17109,677,16059,373,31,0,47,3.96,93.86,4.22,0.01
Azerbaijan,9957,119,5583,4255,387,4,274,1.2,56.07,2.13,0.32
Bahamas,103,11,68,24,0,0,0,10.68,66.02,16.18,0.00
Bahrain,18227,42,12818,5367,514,5,627,0.23,70.32,0.33,0.23
Bangladesh,87520,1171,18730,67619,3141,32,902,1.34,21.4,6.25,0.33
Barbados,96,7,83,6,0,0,0,7.29,86.46,8.43,0.04
Belarus,53973,308,30103,23562,732,5,992,0.57,55.77,01.02,0.11
Belgium,60029,9655,16589,33785,111,5,42,16.08,27.63,58.2,0.01
Belize,20,2,16,2,0,0,0,10.0,80.0,12.5,0.05
Benin,442,6,228,208,30,0,6,1.36,51.58,2.63,0.69
Bhutan,66,0,21,45,0,0,0,0.0,31.82,0.0,0.12
Bolivia,18459,611,3113,14735,617,26,345,3.31,16.86,19.63,0.35
Bosnia and Herzegovina,2893,163,2119,611,0,0,0,5.63,73.25,7.69,0.45
Botswana,60,1,24,35,0,0,0,1.67,40.0,4.17,0.50
Brazil,867624,43332,469141,355151,17110,612,9705,4.99,54.07,9.24,0.25
Brunei,141,2,138,1,0,0,0,1.42,97.87,1.45,0.00
Bulgaria,3290,174,1730,1386,24,2,7,5.29,52.58,10.06,0.21
Burkina Faso,894,53,799,42,2,0,0,5.93,89.37,6.63,0.01
Burma,261,6,167,88,0,0,0,2.3,63.98,3.59,0.08
Burundi,85,1,45,39,0,0,0,1.18,52.94,2.22,0.02
Cabo Verde,750,6,301,443,24,0,7,0.8,40.13,1.99,0.35
Cambodia,128,0,125,3,0,0,0,0.0,97.66,0.0,0.02
Cameroon,8681,212,4836,3633,0,0,0,2.44,55.71,4.38,0.10
Canada,100391,8217,0,92174,361,35,0,8.18,0.0,0,0.03
Central African Republic,2057,7,363,1687,0,0,0,0.34,17.65,1.93,0.26
Chad,850,73,720,57,2,1,2,8.59,84.71,10.14,0.02
Chile,174293,3323,143704,27266,6938,222,6408,1.91,82.45,2.31,0.30
China,84335,4638,79482,215,49,0,7,5.5,94.25,5.84,0.00
Colombia,48896,1670,19460,27766,1902,47,711,3.42,39.8,8.58,0.28
Comoros,176,2,114,60,0,0,0,1.14,64.77,1.75,0.25
Congo (Brazzaville),728,24,221,483,0,0,0,3.3,30.36,10.86,0.07
Congo (Kinshasa),4778,107,600,4071,54,1,5,2.24,12.56,17.83,0.19
Costa Rica,1715,12,752,951,53,0,9,0.7,43.85,1.6,0.45
Cote d'Ivoire,5084,45,2505,2534,236,0,108,0.89,49.27,1.8,0.36
Croatia,2252,107,2134,11,1,0,0,4.75,94.76,05.01,0.00
Cuba,2248,84,1948,216,10,0,25,3.74,86.65,4.31,0.45
Cyprus,983,18,807,158,3,0,0,1.83,82.1,2.23,0.02
Czechia,10024,329,7226,2469,33,1,7,3.28,72.09,4.55,0.45
Denmark,12380,597,11255,528,54,0,33,4.82,90.91,5.3,0.45
Djibouti,4465,43,2950,1472,16,2,127,0.96,66.07,1.46,0.06
Dominica,18,0,16,2,0,0,0,0.0,88.89,0.0,0.00
Dominican Republic,22962,592,13320,9050,390,15,236,2.58,58.01,4.44,0.17
Ecuador,46751,3896,23064,19791,395,22,199,8.33,49.33,16.89,0.08
Egypt,44598,1575,11931,31092,1618,91,402,3.53,26.75,13.2,0.31
El Salvador,3720,74,1846,1800,117,2,108,1.99,49.62,04.01,0.23
Equatorial Guinea,1306,12,200,1094,0,0,0,0.92,15.31,6.0,0.00
Eritrea,96,0,39,57,31,0,0,0.0,40.62,0.0,1.46
Estonia,1973,69,1705,199,0,0,0,3.5,86.42,04.05,0.02
Eswatini,490,4,249,237,4,1,2,0.82,50.82,1.61,0.47
Ethiopia,3345,57,545,2743,179,2,50,1.7,16.29,10.46,0.66
Fiji,18,0,18,0,0,0,0,0.0,100.0,0.0,0.00
Finland,7104,326,6200,578,17,1,0,4.59,87.27,5.26,0.02
France,194153,29410,72982,91761,407,9,51,15.15,37.59,40.3,0.45
Gabon,3463,23,1024,2416,0,0,0,0.66,29.57,2.25,0.12
Gambia,28,1,24,3,0,0,0,3.57,85.71,4.17,0.08
Georgia,864,14,703,147,13,0,1,1.62,81.37,1.99,0.45
Germany,187518,8801,172089,6628,251,8,119,4.69,91.77,5.11,0.01
Ghana,11964,54,4258,7652,846,6,279,0.45,35.59,1.27,0.24
Greece,3121,183,1374,1564,9,0,0,5.86,44.02,13.32,0.04
Greenland,13,0,13,0,0,0,0,0.0,100.0,0.0,0.00
Grenada,23,0,22,1,0,0,0,0.0,95.65,0.0,0.00
Guatemala,9845,384,1886,7575,354,17,82,3.9,19.16,20.36,0.40
Guinea,4532,25,3234,1273,48,0,21,0.55,71.36,0.77,0.45
Guinea-Bissau,1460,15,153,1292,0,0,0,01.03,10.48,9.8,0.07
Guyana,159,12,99,48,0,0,4,7.55,62.26,12.12,0.03
Haiti,4165,70,24,4071,0,0,0,1.68,0.58,291.67,0.25
Holy See,12,0,12,0,0,0,0,0.0,100.0,0.0,0.00
Honduras,8858,312,967,7579,403,2,73,3.52,10.92,32.26,0.40
Hungary,4069,562,2482,1025,5,3,6,13.81,61.0,22.64,0.02
Iceland,1810,10,1796,4,2,0,2,0.55,99.23,0.56,0.00
India,320922,9195,162379,149348,11929,311,8049,2.87,50.6,5.66,0.25
Indonesia,38277,2134,14531,21612,857,43,755,5.58,37.96,14.69,0.23
Iran,187427,8837,148674,29916,2472,107,1926,4.71,79.32,5.94,0.45
Iraq,20209,607,8121,11481,1259,58,606,3.0,40.19,7.47,0.63
Ireland,25303,1706,22698,899,8,1,0,6.74,89.7,7.52,0.00
Israel,19055,300,15375,3380,83,0,18,1.57,80.69,1.95,0.07
Italy,236989,34345,176370,26274,338,44,1505,14.49,74.42,19.47,0.01
Jamaica,617,10,420,187,2,0,0,1.62,68.07,2.38,0.03
Japan,17369,927,15514,928,76,0,56,5.34,89.32,5.98,0.02
Jordan,961,9,682,270,8,0,4,0.94,70.97,1.32,0.19
Kazakhstan,14496,77,9188,5231,258,4,359,0.53,63.38,0.84,0.45
Kenya,3594,103,1253,2238,137,3,32,2.87,34.86,8.22,0.30
Kosovo,1437,32,928,477,0,0,0,2.23,64.58,3.45,0.26
Kuwait,35920,296,26759,8865,454,7,877,0.82,74.5,1.11,0.13
Kyrgyzstan,2285,27,1791,467,78,0,69,1.18,78.38,1.51,0.14
Laos,19,0,19,0,0,0,0,0.0,100.0,0.0,0.00
Latvia,1097,28,845,224,0,0,0,2.55,77.03,3.31,0.01
Lebanon,1446,32,868,546,4,0,0,2.21,60.03,3.69,0.09
Lesotho,4,0,2,2,0,0,0,0.0,50.0,0.0,0.00
Liberia,458,32,219,207,12,0,5,6.99,47.82,14.61,0.28
